{'auditorium': 'Auditorium 1', 'description': 'Reserved seating, Recliner Seats, PRIME 3D at AMC', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B18', 'B17', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A14', 'A13', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-06 17:57:55.803641', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 18:10:05.556153', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 18:21:52.273256', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 18:58:58.799681', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 19:49:00.149533', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 20:03:04.670194', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 20:16:09.528352', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 20:38:12.698315', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 20:51:58.736113', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 21:05:04.322425', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 21:17:58.093337', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 21:30:37.037666', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 21:55:28.278728', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 22:07:42.809371', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 22:19:21.204110', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 22:31:01.220979', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 22:42:28.283053', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 23:01:56.059725', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 23:14:01.292607', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 23:25:45.447329', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
['2018-07-06 23:38:05.834121', {'R': [47, 48, 64, 65, 66, 67], 'U': []}]
