{'auditorium': 'Auditorium 1', 'description': 'Reserved seating, Recliner Seats, PRIME 3D at AMC', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B18', 'B17', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A14', 'A13', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-06 17:59:38.544567', {'R': [48], 'U': []}]
['2018-07-06 18:11:40.575522', {'R': [48], 'U': []}]
['2018-07-06 18:23:29.774305', {'R': [48], 'U': []}]
['2018-07-06 19:00:34.398156', {'R': [48], 'U': []}]
['2018-07-06 19:50:42.565925', {'R': [48], 'U': []}]
['2018-07-06 20:04:34.163189', {'R': [48], 'U': []}]
['2018-07-06 20:17:42.066192', {'R': [48], 'U': []}]
['2018-07-06 20:39:45.452035', {'R': [48], 'U': []}]
['2018-07-06 20:53:34.134247', {'R': [48], 'U': []}]
['2018-07-06 21:06:42.566105', {'R': [48], 'U': []}]
['2018-07-06 21:19:35.338277', {'R': [48], 'U': []}]
['2018-07-06 21:32:09.021112', {'R': [48], 'U': []}]
['2018-07-06 21:57:00.396909', {'R': [48], 'U': []}]
['2018-07-06 22:09:08.439063', {'R': [48], 'U': []}]
['2018-07-06 22:20:50.554513', {'R': [48], 'U': []}]
['2018-07-06 22:32:31.855913', {'R': [48], 'U': []}]
['2018-07-06 22:44:03.358129', {'R': [48], 'U': []}]
['2018-07-06 23:03:45.196319', {'R': [48], 'U': []}]
['2018-07-06 23:15:45.443538', {'R': [48], 'U': []}]
['2018-07-06 23:27:25.345817', {'R': [48], 'U': []}]
['2018-07-06 23:39:43.432084', {'R': [48], 'U': []}]
['2018-07-07 07:11:03.330799', {'R': [48], 'U': []}]
['2018-07-07 07:11:54.526115', {'R': [48], 'U': []}]
['2018-07-07 07:32:40.470361', {'R': [48], 'U': []}]
['2018-07-07 07:33:28.301656', {'R': [48], 'U': []}]
['2018-07-07 07:54:59.107026', {'R': [48], 'U': []}]
['2018-07-07 07:55:23.587009', {'R': [48], 'U': []}]
['2018-07-07 08:16:37.340173', {'R': [48], 'U': []}]
['2018-07-07 08:16:42.917829', {'R': [48], 'U': []}]
['2018-07-07 08:36:50.330909', {'R': [48], 'U': []}]
['2018-07-07 08:37:56.209905', {'R': [48], 'U': []}]
['2018-07-07 08:57:56.406246', {'R': [48], 'U': []}]
['2018-07-07 08:59:22.543663', {'R': [48], 'U': []}]
['2018-07-07 09:20:53.271734', {'R': [48], 'U': []}]
['2018-07-07 09:21:39.729380', {'R': [48], 'U': []}]
['2018-07-07 09:42:25.394295', {'R': [48], 'U': []}]
['2018-07-07 09:42:43.128694', {'R': [48], 'U': []}]
['2018-07-07 10:04:52.820935', {'R': [48], 'U': []}]
['2018-07-07 10:05:31.862730', {'R': [48], 'U': []}]
['2018-07-07 10:26:04.283356', {'R': [48], 'U': []}]
['2018-07-07 10:26:47.755403', {'R': [48], 'U': []}]
['2018-07-07 10:48:38.205823', {'R': [48], 'U': []}]
['2018-07-07 10:49:39.399587', {'R': [48], 'U': []}]
['2018-07-07 11:41:30.022724', {'R': [48], 'U': []}]
['2018-07-07 12:15:14.558573', {'R': [48], 'U': []}]
['2018-07-07 12:38:35.107043', {'R': [48], 'U': []}]
['2018-07-07 13:02:10.063739', {'R': [48], 'U': []}]
['2018-07-07 13:23:38.188808', {'R': [48], 'U': []}]
['2018-07-07 13:45:36.248090', {'R': [48], 'U': []}]
['2018-07-07 14:08:23.144622', {'R': [48], 'U': []}]
['2018-07-07 14:43:34.989285', {'R': [48], 'U': []}]
['2018-07-07 14:55:44.980773', {'R': [48], 'U': []}]
['2018-07-07 15:12:05.694696', {'R': [48], 'U': []}]
['2018-07-07 15:30:23.404109', {'R': [48], 'U': []}]
['2018-07-07 15:41:32.973916', {'R': [48], 'U': []}]
['2018-07-07 15:51:46.620027', {'R': [48], 'U': []}]
['2018-07-07 16:02:15.930489', {'R': [48], 'U': []}]
['2018-07-07 16:13:19.854865', {'R': [48], 'U': []}]
['2018-07-07 16:24:14.203175', {'R': [48], 'U': []}]
['2018-07-07 16:34:59.744244', {'R': [48], 'U': []}]
['2018-07-07 16:45:30.545705', {'R': [48], 'U': []}]
['2018-07-07 17:06:06.481856', {'R': [48], 'U': []}]
['2018-07-07 17:20:33.319373', {'R': [48], 'U': []}]
['2018-07-07 17:30:59.413010', {'R': [48], 'U': []}]
['2018-07-07 17:40:30.505948', {'R': [48], 'U': []}]
['2018-07-07 17:50:51.794739', {'R': [48], 'U': []}]
['2018-07-07 18:01:15.827094', {'R': [48], 'U': []}]
['2018-07-07 18:11:46.609780', {'R': [48], 'U': []}]
['2018-07-07 18:21:52.220138', {'R': [48], 'U': []}]
['2018-07-07 18:32:16.207985', {'R': [48], 'U': []}]
['2018-07-07 18:41:27.197758', {'R': [48], 'U': []}]
['2018-07-07 19:09:24.652098', {'R': [48], 'U': []}]
['2018-07-07 19:17:34.081886', {'R': [48], 'U': []}]
['2018-07-07 19:25:24.604522', {'R': [48], 'U': []}]
['2018-07-07 19:34:11.818311', {'R': [48], 'U': []}]
['2018-07-07 19:43:09.795943', {'R': [48], 'U': []}]
['2018-07-07 19:51:39.252254', {'R': [48], 'U': []}]
['2018-07-07 19:59:48.871876', {'R': [48], 'U': []}]
['2018-07-07 20:07:37.930310', {'R': [48], 'U': []}]
['2018-07-07 20:15:32.153438', {'R': [48], 'U': []}]
['2018-07-07 20:23:48.756163', {'R': [48], 'U': []}]
['2018-07-07 20:39:40.608849', {'R': [48], 'U': []}]
['2018-07-07 20:48:40.076589', {'R': [48], 'U': []}]
['2018-07-07 20:58:03.805006', {'R': [48], 'U': []}]
['2018-07-07 21:06:39.483093', {'R': [48], 'U': []}]
['2018-07-07 21:14:16.096264', {'R': [48], 'U': []}]
['2018-07-07 21:21:43.456426', {'R': [48], 'U': []}]
['2018-07-07 21:29:44.792527', {'R': [48], 'U': []}]
['2018-07-07 21:37:14.338686', {'R': [48], 'U': []}]
['2018-07-07 21:44:31.157514', {'R': [48], 'U': []}]
['2018-07-07 21:52:24.142824', {'R': [48], 'U': []}]
['2018-07-07 22:00:00.410582', {'R': [48], 'U': []}]
['2018-07-07 22:07:35.137385', {'R': [48], 'U': []}]
['2018-07-07 22:14:14.102146', {'R': [48], 'U': []}]
['2018-07-07 22:18:30.290192', {'R': [48], 'U': []}]
['2018-07-07 22:25:00.990638', {'R': [48], 'U': []}]
['2018-07-07 22:31:48.127871', {'R': [48], 'U': []}]
['2018-07-07 22:38:20.341022', {'R': [48], 'U': []}]
['2018-07-07 22:45:08.503889', {'R': [48], 'U': []}]
['2018-07-07 22:52:06.219656', {'R': [48], 'U': []}]
['2018-07-07 22:58:49.079181', {'R': [48], 'U': []}]
['2018-07-07 23:05:16.900785', {'R': [48], 'U': []}]
['2018-07-07 23:11:38.859293', {'R': [48], 'U': []}]
['2018-07-07 23:17:51.208634', {'R': [48], 'U': []}]
['2018-07-07 23:24:19.898471', {'R': [48], 'U': []}]
['2018-07-07 23:30:37.313271', {'R': [48], 'U': []}]
['2018-07-07 23:37:08.849840', {'R': [48], 'U': []}]
['2018-07-07 23:43:18.975607', {'R': [48], 'U': []}]
['2018-07-07 23:49:49.678942', {'R': [48], 'U': []}]
['2018-07-07 23:56:21.699253', {'R': [48], 'U': []}]
