{'auditorium': 'Auditorium 8', 'description': 'Dolby Cinema @ AMC, Reserved seating, Recliner Seats', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-11 00:00:59.394652', {'R': [], 'U': []}]
['2018-07-11 07:06:32.096291', {'R': [], 'U': []}]
['2018-07-11 07:17:09.995052', {'R': [], 'U': []}]
['2018-07-11 07:27:15.049235', {'R': [], 'U': []}]
['2018-07-11 07:37:18.190525', {'R': [], 'U': []}]
['2018-07-11 07:58:42.648631', {'R': [], 'U': []}]
['2018-07-11 08:08:52.443350', {'R': [], 'U': []}]
['2018-07-11 08:18:57.732325', {'R': [], 'U': []}]
['2018-07-11 08:29:01.260898', {'R': [], 'U': []}]
['2018-07-11 08:39:22.282163', {'R': [], 'U': []}]
['2018-07-11 08:49:53.691661', {'R': [], 'U': []}]
['2018-07-11 09:00:02.301501', {'R': [], 'U': []}]
['2018-07-11 09:10:14.829356', {'R': [], 'U': []}]
['2018-07-11 09:20:26.245653', {'R': [], 'U': []}]
['2018-07-11 09:31:04.123821', {'R': [], 'U': []}]
['2018-07-11 09:41:32.855196', {'R': [], 'U': []}]
['2018-07-11 09:51:51.915554', {'R': [], 'U': []}]
['2018-07-11 10:01:59.604608', {'R': [], 'U': []}]
['2018-07-11 10:11:57.997959', {'R': [], 'U': []}]
['2018-07-11 10:21:57.861074', {'R': [], 'U': []}]
['2018-07-11 10:28:52.773722', {'R': [], 'U': []}]
['2018-07-11 10:39:14.207137', {'R': [], 'U': []}]
['2018-07-11 10:49:19.129716', {'R': [], 'U': []}]
['2018-07-11 10:59:24.954247', {'R': [], 'U': []}]
['2018-07-11 11:15:31.120118', {'R': [], 'U': []}]
['2018-07-11 11:26:04.785397', {'R': [], 'U': []}]
['2018-07-11 11:36:13.550244', {'R': [], 'U': []}]
['2018-07-11 11:46:36.166052', {'R': [], 'U': []}]
['2018-07-11 11:56:45.073836', {'R': [], 'U': []}]
['2018-07-11 12:06:19.814260', {'R': [], 'U': []}]
['2018-07-11 12:16:02.074448', {'R': [], 'U': []}]
['2018-07-11 12:25:45.195544', {'R': [], 'U': []}]
['2018-07-11 12:35:51.927863', {'R': [], 'U': []}]
['2018-07-11 12:46:02.018164', {'R': [], 'U': []}]
['2018-07-11 12:53:18.709435', {'R': [], 'U': []}]
['2018-07-11 13:02:57.970514', {'R': [], 'U': []}]
['2018-07-11 13:12:45.906901', {'R': [], 'U': []}]
['2018-07-11 13:22:34.990666', {'R': [], 'U': []}]
['2018-07-11 13:32:24.341939', {'R': [], 'U': []}]
['2018-07-11 13:42:27.384393', {'R': [], 'U': []}]
['2018-07-11 13:54:36.191473', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:03:50.340721', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:12:31.927036', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:21:11.540450', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:29:53.605299', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:38:20.295833', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:47:20.911663', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 14:55:53.473822', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:04:12.178054', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:12:37.999181', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:20:53.176511', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:29:16.365330', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:37:27.765705', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:45:59.231799', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 15:54:12.234603', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:02:15.116271', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:10:28.649721', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:18:19.026191', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:27:41.056601', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:35:43.032790', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:44:18.265362', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 16:52:13.621345', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:00:05.067175', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:08:24.630219', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:16:57.774187', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:24:46.236348', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:32:28.967860', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:39:56.573449', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:48:21.165748', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 17:55:50.845197', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:03:37.532219', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:11:37.127488', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:19:41.241598', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:27:08.798709', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:34:27.204956', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:41:48.397357', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:49:25.300447', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 18:56:32.305686', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:04:12.780608', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:12:06.474350', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:20:34.706190', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:28:48.166116', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:37:19.414579', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:46:03.793347', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 19:53:38.846649', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:00:42.191861', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:07:53.456733', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:17:55.144668', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:25:12.921116', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:32:15.943289', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:38:41.480914', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:45:24.496478', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:51:52.158867', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 20:58:14.941170', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:05:12.389897', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:12:24.862863', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:19:16.720808', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:26:02.747388', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:32:46.671098', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:39:40.394511', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:46:58.693698', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 21:54:14.733039', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:00:58.300931', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:07:32.343241', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:13:57.516665', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:20:21.772627', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:25:57.081769', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:33:06.517879', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:40:19.189485', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:46:31.851890', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:51:58.065317', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 22:57:44.983834', {'R': [65, 66, 67, 68], 'U': []}]
['2018-07-11 23:03:11.199456', {'R': [65, 66, 67, 68], 'U': []}]
