{'auditorium': 'Auditorium 8', 'description': 'Dolby Cinema @ AMC, Reserved seating, Recliner Seats', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-12 00:00:27.064003', {'R': [], 'U': []}]
['2018-07-12 07:10:10.793971', {'R': [], 'U': []}]
['2018-07-12 07:19:33.022939', {'R': [], 'U': []}]
['2018-07-12 07:27:05.679898', {'R': [], 'U': []}]
['2018-07-12 07:36:19.536959', {'R': [], 'U': []}]
['2018-07-12 07:49:59.165737', {'R': [], 'U': []}]
['2018-07-12 08:03:32.776413', {'R': [], 'U': []}]
['2018-07-12 08:16:26.351789', {'R': [], 'U': []}]
['2018-07-12 08:30:47.807332', {'R': [], 'U': []}]
['2018-07-12 08:44:12.252698', {'R': [], 'U': []}]
['2018-07-12 08:58:38.117712', {'R': [], 'U': []}]
['2018-07-12 09:12:02.378529', {'R': [], 'U': []}]
['2018-07-12 09:25:10.827334', {'R': [], 'U': []}]
['2018-07-12 09:38:14.434509', {'R': [], 'U': []}]
['2018-07-12 09:52:03.216891', {'R': [], 'U': []}]
['2018-07-12 10:05:12.136481', {'R': [], 'U': []}]
['2018-07-12 10:18:04.248713', {'R': [], 'U': []}]
['2018-07-12 10:31:26.995867', {'R': [], 'U': []}]
['2018-07-12 10:44:46.926732', {'R': [], 'U': []}]
['2018-07-12 10:58:01.065751', {'R': [], 'U': []}]
['2018-07-12 11:10:49.969938', {'R': [], 'U': []}]
['2018-07-12 11:23:43.831184', {'R': [], 'U': []}]
['2018-07-12 11:36:22.276680', {'R': [], 'U': []}]
['2018-07-12 11:49:04.438666', {'R': [], 'U': []}]
['2018-07-12 12:01:32.471141', {'R': [], 'U': []}]
['2018-07-12 12:14:15.267479', {'R': [], 'U': []}]
['2018-07-12 12:31:04.437333', {'R': [], 'U': []}]
['2018-07-12 12:41:16.918754', {'R': [86, 87], 'U': []}]
['2018-07-12 12:53:42.097968', {'R': [86, 87], 'U': []}]
['2018-07-12 13:06:03.501322', {'R': [86, 87], 'U': []}]
['2018-07-12 13:18:37.142292', {'R': [86, 87], 'U': []}]
['2018-07-12 13:30:58.321317', {'R': [86, 87], 'U': []}]
['2018-07-12 13:42:54.219273', {'R': [86, 87], 'U': []}]
['2018-07-12 13:55:26.313371', {'R': [86, 87], 'U': []}]
['2018-07-12 14:07:11.052744', {'R': [86, 87], 'U': []}]
['2018-07-12 14:18:40.616309', {'R': [86, 87], 'U': []}]
['2018-07-12 14:30:06.414642', {'R': [86, 87], 'U': []}]
['2018-07-12 14:41:21.927424', {'R': [86, 87], 'U': []}]
['2018-07-12 14:53:19.161942', {'R': [86, 87], 'U': []}]
['2018-07-12 15:04:44.481678', {'R': [86, 87], 'U': []}]
['2018-07-12 15:16:03.247280', {'R': [86, 87], 'U': []}]
['2018-07-12 15:27:01.198622', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 15:38:03.908965', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 15:49:29.890538', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:00:46.467930', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:11:43.800027', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:22:33.138133', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:33:30.685190', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:44:01.744790', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 16:54:48.261309', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 17:05:35.464813', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 17:16:26.278468', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 17:28:14.962098', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 17:41:38.390741', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 17:52:48.084983', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 18:03:45.524835', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 18:14:36.459077', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 18:25:15.103281', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 18:36:21.673098', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 18:54:32.728834', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 19:06:34.333691', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 19:18:17.800282', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 19:29:11.759811', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 19:40:39.373360', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 19:52:22.708513', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:03:36.682019', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:14:31.558777', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:25:26.112651', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:35:48.261836', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:46:06.270004', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 20:57:09.170697', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 21:08:16.563813', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 21:19:58.270106', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 21:31:36.231354', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 21:43:22.912590', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 21:55:30.529223', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 22:04:25.743193', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 22:14:21.141072', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 22:27:55.096667', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 22:47:19.571347', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 22:57:30.638192', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:04:52.512455', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:18:26.838010', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:27:39.851800', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:37:39.452736', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:46:46.823861', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-12 23:56:29.112747', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 07:08:01.061092', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 07:21:12.180811', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 07:34:38.048057', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 07:47:32.076225', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 08:03:17.622354', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 08:25:34.159600', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 08:39:11.885402', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 08:52:52.641219', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 09:07:04.834786', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 09:22:25.980309', {'R': [10, 11, 86, 87], 'U': []}]
['2018-07-13 09:37:02.294928', {'R': [10, 11, 27, 28, 29, 30, 86, 87], 'U': []}]
['2018-07-13 09:51:58.125261', {'R': [10, 11, 27, 28, 29, 30, 86, 87], 'U': []}]
['2018-07-13 10:08:11.751728', {'R': [10, 11, 27, 28, 29, 30, 86, 87], 'U': []}]
['2018-07-13 10:24:37.370689', {'R': [10, 11, 27, 28, 29, 30, 86, 87], 'U': []}]
['2018-07-13 10:40:32.389408', {'R': [10, 11, 27, 28, 29, 30, 42, 43, 44, 45, 46, 47, 51, 84, 86, 87], 'U': []}]
