{'auditorium': 'Auditorium 8', 'description': 'Dolby Cinema @ AMC, Reserved seating, Recliner Seats', 'seats': ['J20', 'J19', 'J18', 'J17', 'J16', 'J15', 'J14', 'J13', 'J12', 'J11', 'J10', 'J9', 'J8', 'J7', 'J6', 'J5', 'J4', 'J3', 'J2', 'J1', 'H19', 'H18', 'H17', 'H16', 'H15', 'H14', 'H13', 'H12', 'H11', 'H10', 'H9', 'H8', 'H7', 'H6', 'H5', 'H4', 'H3', 'H2', 'H1', 'G19', 'G18', 'G17', 'G16', 'G15', 'G14', 'G13', 'G12', 'G11', 'G10', 'G9', 'G8', 'G7', 'G6', 'G5', 'G4', 'G3', 'G2', 'G1', 'F19', 'F18', 'F17', 'F16', 'F15', 'F14', 'F13', 'F12', 'F11', 'F10', 'F9', 'F8', 'F7', 'F6', 'F5', 'F4', 'F3', 'F2', 'F1', 'E19', 'E18', 'E17', 'E16', 'E15', 'E14', 'E13', 'E12', 'E11', 'E10', 'E9', 'E8', 'E7', 'E6', 'E5', 'E4', 'E3', 'E2', 'E1', 'D17', 'D16', 'D15', 'D14', 'WC13', 'D12', 'D11', 'WC10', 'WC9', 'D8', 'D7', 'WC6', 'WC5', 'D4', 'D3', 'D2', 'D1', 'C19', 'C18', 'C17', 'C16', 'C15', 'C14', 'C13', 'C12', 'C11', 'C10', 'C9', 'C8', 'C7', 'C6', 'C5', 'C4', 'C3', 'C2', 'C1', 'B16', 'B15', 'B14', 'B13', 'B12', 'B11', 'B10', 'B9', 'B8', 'B7', 'B6', 'B5', 'B4', 'B3', 'B2', 'B1', 'A12', 'A11', 'A10', 'A9', 'A8', 'A7', 'A6', 'A5', 'A4', 'A3', 'A2', 'A1'], 'seat_types': ['standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'companion', 'wheelchair', 'wheelchair', 'companion', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard', 'standard']}
['2018-07-12 07:37:42.828353', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 07:51:24.668535', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 08:04:55.266410', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 08:18:00.305895', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 08:32:27.330838', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 08:45:39.882643', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 09:00:07.640931', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 09:13:21.723167', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 09:26:30.364420', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 09:39:51.776204', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 09:53:24.205585', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 10:06:50.246658', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 10:19:25.205373', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 10:32:48.808459', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 10:46:19.062354', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 10:59:26.364079', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 11:12:08.912578', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 11:25:08.015685', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 11:37:45.218484', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 11:50:28.077751', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 12:02:54.025511', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 12:15:34.846603', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 12:32:28.071060', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 12:42:37.978189', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 12:55:02.422573', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 13:07:27.553847', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 13:19:54.916329', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 13:32:24.351306', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 13:44:11.858851', {'R': [39, 40, 41, 42, 43, 84, 85, 86, 87], 'U': []}]
['2018-07-12 13:56:54.970077', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 14:08:41.238864', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 14:20:03.271375', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 14:31:27.592297', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 14:42:39.918242', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 14:54:45.399617', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 15:06:03.550356', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 15:17:24.981415', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 15:28:22.235447', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 15:39:38.410855', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 15:50:54.929323', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:02:12.131691', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:13:08.490829', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:23:57.549650', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:34:52.287729', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:45:27.253155', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 16:56:12.004496', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 17:07:03.787029', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 17:18:09.688905', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 17:29:39.499700', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 17:43:02.044970', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 17:54:14.751145', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 18:05:06.883407', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 18:15:57.831300', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 18:26:36.615350', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 18:37:49.615520', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 18:56:12.279637', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 19:08:13.679076', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 19:19:39.637930', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 19:30:38.957096', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 19:42:05.489979', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 19:53:58.011801', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:05:15.108764', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:15:57.984007', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:26:53.633093', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:37:17.761802', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:47:37.985294', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 20:58:36.388562', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 21:09:59.817295', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 21:21:40.801823', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 21:33:19.386487', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 21:45:00.348195', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 21:56:56.396196', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:05:56.131761', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:16:50.702716', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:29:21.115114', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:39:09.510452', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:48:55.176179', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 22:59:00.930511', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:06:14.796256', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:19:52.585051', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:29:06.969124', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:39:03.337693', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:48:14.157125', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-12 23:57:49.459426', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
